OID_,observer,obs_ID,latitude,longitude,correction,Tile_ID,comment
66,MRGA,ref 1,-40.336564709999998,-9.916072000000000,orthorectified,241, 
67,MRGA,ref 1,-40.340647150000002,-9.915529070000000,orthorectified,169, 
68,MRGA,ref 1,-40.337916110000002,-9.922527290000000,orthorectified,218, 
69,MRGA,ref 1,-40.338712530000002,-9.922587230000000,orthorectified,199, 
70,MRGA,ref 1,-40.339198250000003,-9.913517230000000,orthorectified,188, 
71,MRGA,ref 1,-40.347778370000000,-9.909891360000000,orthorectified,57, 
72,MRGA,ref 1,-40.346033120000001,-9.911846779999999,orthorectified,83, 
73,MRGA,ref 1,-40.345172419999997,-9.913043040000000,orthorectified,96, 
74,MRGA,ref 1,-40.338747679999997,-9.919455070000000,orthorectified,201, 
75,MRGA,ref 1,-40.339042310000004,-9.916132520000000,orthorectified,204, 
76,MRGA,ref 1,-40.339357980000003,-9.915233960000000,orthorectified,187, 
77,MRGA,ref 1,-40.339055369999997,-9.914210980000000,orthorectified,206, 
78,MRGA,ref 1,-40.339912490000003,-9.917370620000000,orthorectified,185, 
79,MRGA,ref 1,-40.336805720000001,-9.917300700000000,orthorectified,240, 
80,MRGA,ref 1,-40.339734319999998,-9.915060510000000,orthorectified,187, 
81,MRGA,ref 1,-40.339086129999998,-9.914024070000000,orthorectified,206, 
82,MRGA,ref 1,-40.341021990000002,-9.914225360000000,orthorectified,153, 
83,MRGA,ref 1,-40.343512730000000,-9.912684120000000,orthorectified,122, 
84,MRGA,ref 1,-40.344693890000002,-9.914071509999999,orthorectified,95, 
85,MRGA,ref 1,-40.338648630000002,-9.915709659999999,orthorectified,204, 
86,MRGA,ref 1,-40.339973749999999,-9.917299620000000,orthorectified,185,"GPS is in tile 167, but ref is in tile 185 due to distance apart. Tiles not included in observer dataset."
87,MRGA,ref 1,-40.337812360000001,-9.915841439999999,orthorectified,223, 
88,MRGA,ref 1,-40.337793840000003,-9.916005970000001,orthorectified,223, 
