OID_,Join_Count,TARGET_FID,Id,observer,obs_ID,Tile_ID,latitude,longitude,correction
64,4,64,0,PC,ref 2,136,-40.341945580000001,-9.914428389999999,not orthorectified
65,2,65,0,PC,ref 2,134,-40.341888160000003,-9.915781259999999,not orthorectified
66,2,66,0,PC,ref 2,152,-40.341142959999999,-9.914826050000000,not orthorectified
67,2,67,0,PC,ref 2,153,-40.340992000000000,-9.914232510000000,not orthorectified
68,2,68,0,PC,ref 2,152,-40.340997729999998,-9.915286430000000,not orthorectified
69,2,69,0,PC,ref 2,169,-40.340622730000000,-9.915532940000000,not orthorectified
70,3,70,0,PC,ref 2,168,-40.340598989999997,-9.916583340000001,not orthorectified
71,5,71,0,PC,ref 2,187,-40.339704859999998,-9.915066319999999,not orthorectified
72,2,72,0,PC,ref 2,169,-40.340242080000003,-9.914934310000000,not orthorectified
73,5,73,0,PC,ref 2,187,-40.339668189999998,-9.915260210000000,not orthorectified
74,5,74,0,PC,ref 2,187,-40.339328920000000,-9.915240109999999,not orthorectified
75,2,75,0,PC,ref 2,204,-40.339020540000000,-9.916134939999999,not orthorectified
76,2,76,0,PC,ref 2,204,-40.338620700000000,-9.915715860000001,not orthorectified
77,3,77,0,PC,ref 2,205,-40.338703709999997,-9.915114620000001,not orthorectified
78,2,78,0,PC,ref 2,188,-40.339282120000000,-9.914424700000000,not orthorectified
79,4,79,0,PC,ref 2,206,-40.339004840000001,-9.914220970000001,not orthorectified
80,4,80,0,PC,ref 2,206,-40.339032039999999,-9.914036310000000,not orthorectified
81,4,81,0,PC,ref 2,206,-40.339133840000002,-9.913531280000001,not orthorectified
82,2,82,0,PC,ref 2,189,-40.339790020000002,-9.912968520000000,not orthorectified
83,2,83,0,PC,ref 2,189,-40.340037909999999,-9.912485909999999,not orthorectified
84,2,84,0,PC,ref 2,189,-40.339317430000001,-9.912974810000000,not orthorectified
85,1,85,0,PC,ref 2,190,-40.339554980000003,-9.911805370000000,not orthorectified
86,4,86,0,PC,ref 2,206,-40.338707999999997,-9.914391930000001,not orthorectified
87,4,87,0,PC,ref 2,206,-40.338701270000001,-9.914489959999999,not orthorectified
88,3,88,0,PC,ref 2,205,-40.338401410000003,-9.914730440000000,not orthorectified
89,1,89,0,PC,ref 2,223,-40.337782420000003,-9.915853179999999,not orthorectified
90,1,90,0,PC,ref 2,223,-40.337765650000001,-9.916014929999999,not orthorectified
91,1,91,0,PC,ref 2,223,-40.337593660000003,-9.916452749999999,not orthorectified
92,4,92,0,PC,ref 2,222,-40.337886079999997,-9.917229530000000,not orthorectified
93,4,93,0,PC,ref 2,222,-40.337602169999997,-9.917240639999999,not orthorectified
94,2,94,0,PC,ref 2,240,-40.336763120000001,-9.916986310000000,not orthorectified
95,2,95,0,PC,ref 2,240,-40.336779139999997,-9.917309860000000,not orthorectified
96,2,96,0,PC,ref 2,241,-40.336522530000003,-9.916304630000001,not orthorectified
97,2,97,0,PC,ref 2,258,-40.336018559999999,-9.917454680000001,not orthorectified
98,2,98,0,PC,ref 2,259,-40.335869979999998,-9.915985350000000,not orthorectified
99,3,99,0,PC,ref 2,242,-40.336958039999999,-9.915274620000000,not orthorectified
100,3,100,0,PC,ref 2,242,-40.337104990000000,-9.914609410000001,not orthorectified
101,3,101,0,PC,ref 2,243,-40.336892159999998,-9.914092710000000,not orthorectified
102,3,102,0,PC,ref 2,243,-40.337019060000003,-9.913870140000000,not orthorectified
103,2,103,0,PC,ref 2,217,-40.337281650000001,-9.922976029999999,not orthorectified
104,2,104,0,PC,ref 2,221,-40.337603670000000,-9.918434339999999,not orthorectified
105,4,105,0,PC,ref 2,222,-40.337585040000000,-9.917567660000000,not orthorectified
106,2,106,0,PC,ref 2,241,-40.336526360000001,-9.916083430000000,not orthorectified
107,2,107,0,PC,ref 2,241,-40.336502990000000,-9.915942480000000,not orthorectified
108,2,108,0,PC,ref 2,259,-40.336053460000002,-9.915968380000001,not orthorectified
109,1,109,0,PC,ref 2,225,-40.337718889999998,-9.913763080000001,not orthorectified
110,3,110,0,PC,ref 2,224,-40.338144530000001,-9.914557540000001,not orthorectified
111,2,111,0,PC,ref 2,152,-40.341796199999997,-9.915066840000000,not orthorectified
112,3,112,0,PC,ref 2,154,-40.341657220000002,-9.912564110000000,not orthorectified
113,3,113,0,PC,ref 2,154,-40.341463539999999,-9.912912889999999,not orthorectified
114,2,114,0,PC,ref 2,153,-40.341224869999998,-9.913453550000000,not orthorectified
115,3,115,0,PC,ref 2,122,-40.342858550000003,-9.912796320000000,not orthorectified
116,2,116,0,PC,ref 2,123,-40.343252339999999,-9.911397180000000,not orthorectified
117,1,117,0,PC,ref 2,139,-40.342360059999997,-9.910650220000001,not orthorectified
118,1,118,0,PC,ref 2,95,-40.344681960000003,-9.914077020000001,not orthorectified
119,1,119,0,PC,ref 2,149,-40.341223640000003,-9.918204040000001,not orthorectified
120,1,120,0,PC,ref 2,166,-40.340830709999999,-9.918938400000000,not orthorectified
121,0,121,0,PC,ref 2,131,-40.341946069999999,-9.919711430000000,not orthorectified
122,2,122,0,PC,ref 2,258,-40.336128490000000,-9.917185260000000,not orthorectified
123,5,123,0,PC,ref 2,110,-40.343853480000000,-9.911924730000001,not orthorectified
