OID_,Join_Count,TARGET_FID,Id,observer,Tile_ID,obs_ID,latitude,longitude,correction
78,3,78,0,gold standard,224,gold standard,-40.338143270000003,-9.914555549999999,not orthorectified
79,3,79,0,gold standard,205,gold standard,-40.338401500000003,-9.914731789999999,not orthorectified
80,2,80,0,gold standard,240,gold standard,-40.336777269999999,-9.917307220000000,not orthorectified
81,2,81,0,gold standard,240,gold standard,-40.336762669999999,-9.916988470000000,not orthorectified
82,2,82,0,gold standard,257,gold standard,-40.336031699999999,-9.918754789999999,not orthorectified
83,2,83,0,gold standard,257,gold standard,-40.335825669999998,-9.918968789999999,not orthorectified
84,2,84,0,gold standard,217,gold standard,-40.337596200000000,-9.923447780000000,not orthorectified
85,1,85,0,gold standard,218,gold standard,-40.337870080000002,-9.922540600000000,not orthorectified
86,1,86,0,gold standard,198,gold standard,-40.338461260000003,-9.923360180000000,not orthorectified
87,1,87,0,gold standard,218,gold standard,-40.337970929999997,-9.922256369999999,not orthorectified
88,4,88,0,gold standard,222,gold standard,-40.337882370000003,-9.917230650000000,not orthorectified
89,4,89,0,gold standard,222,gold standard,-40.337581340000000,-9.917570970000000,not orthorectified
90,2,90,0,gold standard,201,gold standard,-40.338724460000002,-9.919463349999999,not orthorectified
91,0,91,0,gold standard,261,gold standard,-40.336426779999996,-9.913771270000000,not orthorectified
92,3,92,0,gold standard,242,gold standard,-40.337103829999997,-9.914611280000001,not orthorectified
93,2,93,0,gold standard,204,gold standard,-40.338620550000002,-9.915716930000000,not orthorectified
94,3,94,0,gold standard,205,gold standard,-40.338880220000000,-9.915270410000000,not orthorectified
95,3,95,0,gold standard,205,gold standard,-40.339105730000000,-9.915468700000000,not orthorectified
96,5,96,0,gold standard,187,gold standard,-40.339328660000000,-9.915240740000000,not orthorectified
97,2,97,0,gold standard,189,gold standard,-40.339318069999997,-9.912973650000000,not orthorectified
98,1,98,0,gold standard,185,gold standard,-40.339384629999998,-9.916895360000000,not orthorectified
99,1,99,0,gold standard,185,gold standard,-40.339478309999997,-9.916894030000000,not orthorectified
100,1,100,0,gold standard,203,gold standard,-40.338826560000001,-9.917745220000000,not orthorectified
101,4,101,0,gold standard,206,gold standard,-40.338970680000003,-9.914478089999999,not orthorectified
102,2,102,0,gold standard,152,gold standard,-40.341795279999999,-9.915066919999999,not orthorectified
103,1,103,0,gold standard,150,gold standard,-40.341711380000000,-9.917599120000000,not orthorectified
104,1,104,0,gold standard,149,gold standard,-40.341228500000000,-9.918202819999999,not orthorectified
105,2,105,0,gold standard,132,gold standard,-40.342514059999999,-9.918418810000000,not orthorectified
106,1,106,0,gold standard,139,gold standard,-40.342355150000003,-9.910650370000001,not orthorectified
107,5,107,0,gold standard,110,gold standard,-40.343855540000000,-9.911679220000000,not orthorectified
108,1,108,0,gold standard,199,gold standard,-40.338686310000000,-9.922592679999999,not orthorectified
109,2,109,0,gold standard,221,gold standard,-40.338044949999997,-9.918199720000000,not orthorectified
110,2,110,0,gold standard,163,gold standard,-40.340129189999999,-9.922026630000000,not orthorectified
111,5,111,0,gold standard,110,gold standard,-40.343852740000003,-9.911922850000000,not orthorectified
112,5,112,0,gold standard,187,gold standard,-40.339667609999999,-9.915258229999999,not orthorectified
