Observer,Number of TPs,Number of FPs,Number of FNs,Total predicted count,Recall,Precision,F1
obs8,23,21,12,44,0.66,0.52,0.58
obs3,17,9,18,26,0.49,0.65,0.56
obs1,16,1,19,17,0.46,0.94,0.62
obs5,22,24,13,46,0.63,0.48,0.54
obs2,22,7,13,29,0.63,0.76,0.69
obs9,24,33,11,57,0.69,0.42,0.52
obs6,17,3,18,20,0.49,0.85,0.62
obs4,18,11,17,29,0.51,0.62,0.56
obs7,19,10,16,29,0.54,0.66,0.59
Mean ± SD,19.78 ± 2.99,13.22 ± 10.57,15.22 ± 2.99,33.00 ± 13.17,0.57 ± 0.09,0.66 ± 0.17,0.59 ± 0.05
