Predictor,Model-Averaged Coefficient,Standard Error,95% CI Lower,95% CI Upper,p-value
const,-0.7914799530654092,1.027108395592844,-2.804612408427383,1.221652502296565,0.44094970491734853
aspect_degrees,0.0008478601661895425,0.004904474055050256,-0.008764908981708959,0.010460629314088043,0.8627498088598584
cube_slope_degrees,-0.05338808994748347,0.6211547051362829,-1.270851312014598,1.164075132119631,0.9315063651576785
minimum_age,-0.024019776716005647,0.04628970799520804,-0.11474760438661341,0.06670805095460211,0.6038297661214709
sex,1.044955993938586,0.6121935061257174,-0.15494327806782016,2.244855265944992,0.08783976072037558
