Observer,Number of TPs,Number of FPs,Number of FNs,Total predicted count,Recall,Precision,F1
1,16,19,1,35,0.46,0.94,0.62
2,22,13,7,35,0.63,0.76,0.69
3,17,18,9,35,0.49,0.65,0.56
4,18,17,11,35,0.51,0.62,0.56
5,22,13,24,35,0.63,0.48,0.54
6,17,18,3,35,0.49,0.85,0.62
7,19,16,10,35,0.54,0.66,0.59
8,23,12,21,35,0.66,0.52,0.58
9,24,11,33,35,0.69,0.42,0.52
999,19.78 ± 2.99,15.22 ± 2.99,13.22 ± 10.57,35.00 ± 0.00,0.57 ± 0.09,0.66 ± 0.17,0.59 ± 0.05
