tile_ID,correctly_identified_nests,total_nests,overlap_count
56.0,0,1,4
57.0,1,1,3
79.0,2,2,7
83.0,1,3,4
106.0,2,2,7
132.0,1,2,4
134.0,2,2,7
151.0,0,1,4
164.0,1,2,4
165.0,2,1,1
166.0,0,1,4
168.0,1,3,4
169.0,2,2,7
171.0,1,1,3
199.0,1,1,3
200.0,1,2,4
203.0,0,1,4
204.0,2,2,7
222.0,2,4,1
224.0,1,3,4
239.0,1,3,4
240.0,2,2,7
257.0,2,2,7
259.0,1,2,4
102.0,0,0,6
147.0,0,0,6
160.0,0,0,6
254.0,0,0,6
260.0,0,0,6
286.0,0,0,6
